央视,#genre#
CETV4,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CETV-4/G_CETV-4.m3u8
CGTN俄语,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CGTN-PYCCNN/G_CGTN-PYCCNN.m3u8
CGTN法语,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CGTN-FRANCAIS/G_CGTN-FRANCAIS.m3u8
CGTN西班牙语,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CGTN-ESPANOL/G_CGTN-ESPANOL.m3u8
CGTN阿拉伯语,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CGTN_A/G_CGTN_A.m3u8
CGTN,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
CGTN新闻,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-NEWS/G_CCTV-NEWS.m3u8
世界地理,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHIJIEDL-CQ/G_SHIJIEDL-CQ.m3u8
中学生,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHONGXUESHENG/G_ZHONGXUESHENG.m3u8
兵器科技,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BINGQIKJ-CQ/G_BINGQIKJ-CQ.m3u8
发现之旅,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_FAXIANZL/G_FAXIANZL.m3u8
央视文化精品,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-WENHUA-CQ/G_CCTV-WENHUA-CQ.m3u8
女性时尚,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NVXINGSS-CQ/G_NVXINGSS-CQ.m3u8
女性时尚,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NVXINGSS/G_NVXINGSS.m3u8
怀旧剧场,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUAIJIUJC-CQ/G_HUAIJIUJC-CQ.m3u8
电视指南,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DIANSHIZN-CQ/G_DIANSHIZN-CQ.m3u8
第一剧场,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DIYIJC-CQ/G_DIYIJC-CQ.m3u8
老故事,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_LAOGUSHI/G_LAOGUSHI.m3u8
风云剧场,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_FENGYUNJC-CQ/G_FENGYUNJC-CQ.m3u8
风云足球,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_FENGSHANGZQ-CQ/G_FENGSHANGZQ-CQ.m3u8
风云音乐,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_FENGYUNYY-CQ/G_FENGYUNYY-CQ.m3u8
高尔夫网球,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-GOLF-CQ/G_CCTV-GOLF-CQ.m3u8

卫视,#genre#
湖南卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUNAN-4K/G_HUNAN-4K.m3u8
江苏卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-4K/G_JIANGSU-4K.m3u8
浙江卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-4K/G_ZHEJIANG-4K.m3u8
北京卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-4K/G_BEIJING-4K.m3u8
东方卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGFANG-4K/G_DONGFANG-4K.m3u8
广东卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-4K/G_GUANGDONG-4K.m3u8
深圳卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-4K/G_SHENZHEN-4K.m3u8
山东卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-4K/G_SHANDONG-4K.m3u8
四川卫视4K,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SICHUAN-4K/G_SICHUAN-4K.m3u8
三沙卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SANSHA-HQ/G_SANSHA-HQ.m3u8
东南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/DNWS/DNWS.m3u8
东南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGNAN-HQ/G_DONGNAN-HQ.m3u8
东方卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGFANG-CQ/G_DONGFANG-CQ.m3u8
东方卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGFANG-HQ/G_DONGFANG-HQ.m3u8
东方卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGFANG-MD/G_DONGFANG-MD.m3u8
东方卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_DONGFANG-HD-265-8M/G_DONGFANG-HD-265-8M.m3u8
东方卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/DFWS-HD/DFWS-HD.m3u8
云南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_YUNNAN-HQ/G_YUNNAN-HQ.m3u8
云南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_YUNNAN/G_YUNNAN.m3u8
兵团卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BINGTUAN/G_BINGTUAN.m3u8
内蒙古卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NEIMENGGU/G_NEIMENGGU.m3u8
农林卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NONGLIN/G_NONGLIN.m3u8
北京卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-CQ/G_BEIJING-CQ.m3u8
北京卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-HQ/G_BEIJING-HQ.m3u8
北京卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-MD/G_BEIJING-MD.m3u8
北京卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_BEIJING-HD-265-8M/G_BEIJING-HD-265-8M.m3u8
南方卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NANFANG/G_NANFANG.m3u8
厦门卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_XIAMEN/G_XIAMEN.m3u8
吉林卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JILIN/G_JILIN.m3u8
吉林卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JILIN-CQ/G_JILIN-CQ.m3u8
吉林卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JILIN-HQ/G_JILIN-HQ.m3u8
四川卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/SCWS/SCWS.m3u8
四川卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SICHUAN-CQ/G_SICHUAN-CQ.m3u8
四川卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SICHUAN-HQ/G_SICHUAN-HQ.m3u8
大湾区卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NANFANG/G_NANFANG.m3u8
天津卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/TJWS/TJWS.m3u8
天津卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_TIANJIN-CQ/G_TIANJIN-CQ.m3u8
天津卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_TIANJIN-HD-265-8M/G_TIANJIN-HD-265-8M.m3u8
天津卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_TIANJIN-HQ/G_TIANJIN-HQ.m3u8
天津卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_TIANJIN-MD/G_TIANJIN-MD.m3u8
宁夏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_NINGXIA/G_NINGXIA.m3u8
安多卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ANDUO/G_ANDUO.m3u8
安徽卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/AHWS/AHWS.m3u8
安徽卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ANHUI-CQ/G_ANHUI-CQ.m3u8
安徽卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ANHUI-HD-265-8M/G_ANHUI-HD-265-8M.m3u8
安徽卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ANHUI-HQ/G_ANHUI-HQ.m3u8
安徽卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ANHUI-MD/G_ANHUI-MD.m3u8
山东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-CQ/G_SHANDONG-CQ.m3u8
山东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-HQ/G_SHANDONG-HQ.m3u8
山东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8
山东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-HD-265-8M/G_SHANDONG-HD-265-8M.m3u8
山东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANDONG-HD/G_SHANDONG-HD.m3u8
山西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/SXWS/SXWS.m3u8
山西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHANXI1-HQ/G_SHANXI1-HQ.m3u8
广东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-CQ/G_GUANGDONG-CQ.m3u8
广东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-HQ/G_GUANGDONG-HQ.m3u8
广东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD.m3u8
广东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_GUANGDONG-HD-265-8M/G_GUANGDONG-HD-265-8M.m3u8
广东卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/GDWS-HD/GDWS-HD.m3u8
广西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/GXWS/GXWS.m3u8
康巴卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_KANGBA/G_KANGBA.m3u8
延边卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_YANBIAN/G_YANBIAN.m3u8
新疆卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_XINJIANG-HD/G_XINJIANG-HD.m3u8
新疆卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_XINJIANG/G_XINJIANG.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/JSWS-HD/JSWS-HD.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-CQ/G_JIANGSU-CQ.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-HQ/G_JIANGSU-HQ.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-MD/G_JIANGSU-MD.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-HD-265-8M/G_JIANGSU-HD-265-8M.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-AVS-4K264/G_JIANGSU-AVS-4K264.m3u8
江苏卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-HD/G_JIANGSU-HD.m3u8
江西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/JXWS/JXWS.m3u8
江西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGXI-CQ/G_JIANGXI-CQ.m3u8
江西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGXI-HQ/G_JIANGXI-HQ.m3u8
江西卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGXI-HD/G_JIANGXI-HD.m3u8
河北卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_HEBEI/G_HEBEI.m3u8
河北卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_HEBEI-CQ/G_HEBEI-CQ.m3u8
河北卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_HEBEI-HQ/G_HEBEI-HQ.m3u8
河南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/HENAN/HENAN.m3u8
河南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_HENAN-CQ/G_HENAN-CQ.m3u8
浙江卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ.m3u8
浙江卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ.m3u8
浙江卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8
浙江卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_ZHEJIANG-HD-265-8M/G_ZHEJIANG-HD-265-8M.m3u8
浙江卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/ZJWS-HD/ZJWS-HD.m3u8
海南卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/LYWS/LYWS.m3u8
深圳卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-CQ/G_SHENZHEN-CQ.m3u8
深圳卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
深圳卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8
深圳卫视,http://113.125.208.46:2380/js-live-screenshot.gitv.tv/gitv_live/G_SHENZHEN-HD-265-8M/G_SHENZHEN-HD-265-8M.m3u8
